old_id,new_id,old_index,new_index,old_damage_gra,new_damage_gra,old_damage_percent,new_damage_percent,old_geometry_hash,new_geometry_hash,iou,overlap_m2,centroid_distance_m,old_area_m2,new_area_m2,area_ratio,old_centroid_lat,old_centroid_lon,new_centroid_lat,new_centroid_lon,has_before_after_vlm,vlm_reuse_eligible,remap_action,notes
ems_00053,aoi12_v2_00119,53,119,Damaged,Damaged,70,70,ff409f57b5f2946db73947f28e1d904f0a74d98b441d3f347db904fe497fbb50,1a7c0627f114585ca8d15748aa46f74948c9d5520e674766c68a2c148bc25b04,1.0,95393.234,0.0,95393.234,95393.234,1.0,10.609938167843795,-67.00595404269953,10.609938167843795,-67.00595404269953,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00054,aoi12_v2_00120,54,120,Damaged,Damaged,70,70,29e3591be45fbcf2678d357a6935d529aa523816de0f410496d6fb4233b494f4,5d6e1d1eaeb5b291d34c8f05508f18c160713e91ea25a26a37e9cb1f5b522364,1.0,8587.142,0.0,8587.142,8587.142,1.0,10.610180407709853,-67.00906361029041,10.610180407709853,-67.00906361029041,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00055,aoi12_v2_00121,55,121,Damaged,Damaged,70,70,6e09e0c7dc7c4e260f221d81d8b90c43cada4a816d8508a8dbad09c275b7a967,f1ffeba4a3336f6a2b2add3873179e156a11c2691fd76e9757aa29bcb9f65e12,1.0,12900.701,0.0,12900.701,12900.701,1.0,10.610582616440615,-67.01303515305678,10.610582616440615,-67.01303515305678,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00056,aoi12_v2_00080,56,80,Damaged,Damaged,70,70,5341d7866acd43d6b2ef0faef7ea23bec8865ce559e0f4e428c5763711624089,b0284b678825bcd1d7283c6f1b791312966094424ef99bb3c4ffd4f250cabacb,1.0,223774.387,0.0,223774.387,223774.387,1.0,10.611085876157025,-67.0206319882347,10.611085876157025,-67.0206319882347,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00057,aoi12_v2_00122,57,122,Damaged,Damaged,70,70,f05e3cb2fe2b5df8ce4d6e2f38efa2912de514e91c98adb4c904c1d7801f0132,b0ca8ac3dd45161b893e917037acc68b7c5cff84eae86e4fa7d80c2c71c5f05a,1.0,12450.983,0.0,12450.983,12450.983,1.0,10.610601276517473,-67.01180790823318,10.610601276517473,-67.01180790823318,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00058,aoi12_v2_00075,58,75,Damaged,Damaged,70,70,25193e6ceea49ee4279244e618d8984741c2c093d9f66be0874819c69a9d8b11,d41a36c8009d5107873594fa80e8b223656b5e6a47ca53401867263463de291f,1.0,82164.746,0.0,82164.746,82164.746,1.0,10.610875487422742,-67.01466829432916,10.610875487422742,-67.01466829432916,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00059,aoi12_v2_00076,59,76,Damaged,Damaged,70,70,4b07e56cc0de3dee1a93a9145973996b851b3731aee0ad2b3a4a9dd37b220fa6,ac059ae7ca1169f726c540f5a8b45899801984bdbc3c168871bcb0992a002c8e,1.0,3419.87,0.0,3419.87,3419.87,1.0,10.610711899999284,-67.01023598893816,10.610711899999284,-67.01023598893816,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00060,aoi12_v2_00081,60,81,Damaged,Damaged,70,70,8777a02c35b051cd68068726abeb6bffe10da20d12e78e0bc091a9887649c789,1abb2c339d113707ff037cd111dc41f8f0133efd8db67399bf5b19c297dce2ce,1.0,35923.265,0.0,35923.265,35923.265,1.0,10.613091509550681,-67.02165529828825,10.613091509550681,-67.02165529828825,True,True,reuse_geometry_minor_change,Geometry drift is below reuse threshold.
ems_00061,,61,,Possibly damaged,,35,,099d257f5ecc7ce4818418ad2668082c7e8f332fe9bd5de681e7c0b406bf646b,,,,,9968.749,,,10.59726769061693,-66.93110194646667,,,True,False,retire_or_manual_locate,No v2 overlap found for old feature.
ems_00062,,62,,Possibly damaged,,35,,fea239930272d259436f8e99a057417102323cca667092d6f230e0343d081808,,,,,5650.243,,,10.598555301453882,-66.92240030334084,,,True,False,retire_or_manual_locate,No v2 overlap found for old feature.
